Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0561677633792033,-7.36965152760838E-05,0.286667587274659,0,0,0,19.2695104108364,0.26409748280951,0.000400164588261267,0.00147157353940033,0.603892272508937,0.000102408582079296,0.822504402380331,0,0,0,0,0,0,package://ax6113final/meshes/base_link.STL,0.741176470588235,1,0.741176470588235,1,0,0,0,0,0,0,package://ax6113final/meshes/base_link.STL,,vo1_ex-1-1-1;vo1_ex-1-1-2;motor-2;motor-1;Part15^AGV 6113_base-1-1;màn-hình-1-1-1;C_m-cam-1-1;d_-d__ex-1-1;khung d__ex-1-1;Teach Pendant-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_wheel,-1.49880108324396E-15,-1.67921232474555E-15,0.0399999999999999,0,0,0,1.28203160205244,0.00231577757345468,-4.31280942310315E-20,1.92674672986061E-30,0.00231577757345468,-1.41023922860637E-23,0.00362433959821745,0,0,0,0,0,0,package://ax6113final/meshes/left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ax6113final/meshes/left_wheel.STL,,bigwheel-2,Coordinate System13,Axis1,left_wheel_joint,continuous,-0.00017343,0.122,-0.025,-1.5708,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
right_wheel,-1.49880108324396E-15,1.67921232474555E-15,0.04,0,0,0,1.28203160205243,0.00231577757345468,-2.39856156124579E-19,3.33907854319744E-20,0.00231577757345468,3.35466292051951E-20,0.00362433959821744,0,0,0,0,0,0,package://ax6113final/meshes/right_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ax6113final/meshes/right_wheel.STL,,bigwheel-1,Coordinate System12,Axis1,right_wheel_joint,continuous,-0.00017343,-0.122,-0.025,1.5708,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
caster_fl,-9.49507084806456E-05,-1.26961278157367E-08,-0.0220751390633198,0,0,0,0.050730191615594,2.13076622270567E-05,-4.77236871564436E-12,-2.15459258559363E-07,2.12936580597202E-05,-3.19013832586914E-11,9.21167172451167E-06,0,0,0,0,0,0,package://ax6113final/meshes/caster_fl.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ax6113final/meshes/caster_fl.STL,,casterhubwheel-1/casterhub-1,Coordinate System5,Axis17,caster_fl_joint,continuous,0.27024,0.1595,0,0,0,0,base_link,0,0,-1,,,,,,,0.01,0,,,,
caster_fl_wheel,0,0,0.0275,0,0,0,0.17460228082973,0.000104635302988195,7.06845372568766E-38,-6.13296480894052E-21,0.000104635302988195,-1.83670992315982E-37,9.9322531726992E-05,0,0,0,0,0,0,package://ax6113final/meshes/caster_fl_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ax6113final/meshes/caster_fl_wheel.STL,,casterhubwheel-1/casterwheel-1,Coordinate System9,Axis22,caster_fl_wheel_joint,continuous,-0.025,-0.0275,-0.067,-1.5708,0,0,caster_fl,0,0,-1,0,0,0,0,,,,,,,,
caster_fr,-9.49507084806456E-05,-1.26961278296145E-08,-0.0220751390633199,0,0,0,0.0507301916155941,2.13076622270568E-05,-4.77236871446618E-12,-2.15459258559358E-07,2.12936580597203E-05,-3.19013832894133E-11,9.21167172451168E-06,0,0,0,0,0,0,package://ax6113final/meshes/caster_fr.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ax6113final/meshes/caster_fr.STL,,casterhubwheel-3/casterhub-1,Coordinate System17,Axis23,caster_fr_joint,continuous,0.27024,-0.1595,0,0,0,0,base_link,0,0,1,,,,,,,0.01,0,,,,
caster_fr_wheel,1.11022302462516E-16,0,0.0275,0,0,0,0.17460228082973,0.000104635302988195,-7.06845372568759E-38,3.38010773036404E-21,0.000104635302988195,3.67341984631965E-37,9.9322531726992E-05,0,0,0,0,0,0,package://ax6113final/meshes/caster_fr_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ax6113final/meshes/caster_fr_wheel.STL,,casterhubwheel-3/casterwheel-1,Coordinate System18,Axis22,caster_fr_wheel_joint,continuous,-0.025,0.0275,-0.067,1.5708,0,0,caster_fr,0,0,1,0,0,0,0,,,,,,,,
caster_bl,-9.49507084806317E-05,-1.26961278157367E-08,-0.0220751390633199,0,0,0,0.050730191615594,2.13076622270567E-05,-4.77236871442357E-12,-2.15459258559362E-07,2.12936580597203E-05,-3.19013832734618E-11,9.21167172451167E-06,0,0,0,0,0,0,package://ax6113final/meshes/caster_bl.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ax6113final/meshes/caster_bl.STL,,casterhub-1,Coordinate System6,Axis18,caster_bl_joint,continuous,-0.25726,0.1595,0,0,0,0,base_link,0,0,-1,,,,,,,0.01,0,,,,
caster_bl_wheel,0,0,0.0275000000000001,0,0,0,0.17460228082973,0.000104635302988195,-2.18320536339829E-22,-3.40426455200137E-21,0.000104635302988195,-2.93213903879748E-23,9.9322531726992E-05,0,0,0,0,0,0,package://ax6113final/meshes/caster_bl_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ax6113final/meshes/caster_bl_wheel.STL,,casterwheel-1,Coordinate System8,Axis2,caster_bl_wheel_joint,continuous,-0.025,-0.0275,-0.067,-1.5708,0,0,caster_bl,0,0,-1,0,0,0,0,,,,,,,,
caster_br,-9.49507084806178E-05,-1.26961278018589E-08,-0.0220751390633198,0,0,0,0.050730191615594,2.13076622270566E-05,-4.77236871365657E-12,-2.15459258559352E-07,2.12936580597202E-05,-3.19013832878592E-11,9.21167172451169E-06,0,0,0,0,0,0,package://ax6113final/meshes/caster_br.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ax6113final/meshes/caster_br.STL,,casterhub-2,Coordinate System7,Axis19,caster_br_joint,continuous,-0.25726,-0.1595,0,0,0,0,base_link,0,0,-1,,,,,,,0.01,0,,,,
caster_br_wheel,0,8.67361737988404E-19,0.0274999999999999,0,0,0,0.17460228082973,0.000104635302988195,2.50084271861865E-22,3.39768762188313E-21,0.000104635302988195,-1.77704802405951E-23,9.9322531726992E-05,0,0,0,0,0,0,package://ax6113final/meshes/caster_br_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ax6113final/meshes/caster_br_wheel.STL,,casterwheel-3,Coordinate System10,Axis2,caster_br_wheel_joint,continuous,-0.025,0.0275,-0.067,1.5708,0,0,caster_br,0,0,1,0,0,0,0,,,,,,,,
cabin,0.1,0.380318965024053,0.0176873782655099,0,0,0,5.44372411947952,0.276045180016053,-8.88033322182947E-17,-1.73633908902948E-18,0.0187935661671801,0.000362046000427621,0.293672513292604,0,0,0,0,0,0,package://ax6113final/meshes/cabin.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ax6113final/meshes/cabin.STL,,t_m-d_-tru_c-1-1;Cabinet-1,Origin_cabin_joint,Axis_cabin_joint,cabin_joint,fixed,0.325,0.1,0.183,1.5707963267949,0,-1.5707963267949,base_link,0,0,0,,,,,,,,,,,,
